,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
61,500,522.0,7366,17.221652500000346,"[2, 22, 14, 11, 15, 25, 30, 8, 17, 26, 0, 27, 3, 0, 32, 29, 5, 16, 21, 7, 31, 19, 23, 4, 13, 9, 6, 20, 1, 24, 22, 10, 28]",50,500,19
62,0,493.0,7366,17.287321799998608,"[22, 24, 19, 29, 15, 17, 13, 11, 8, 11, 21, 29, 15, 13, 27, 0, 25, 0, 11, 9, 23, 29, 22, 8, 14, 1, 32, 16, 9, 21, 8, 1, 13]",50,500,20
63,500,521.0,7757,18.81775639999978,"[22, 24, 19, 29, 5, 30, 13, 17, 3, 7, 26, 29, 15, 13, 28, 6, 25, 0, 11, 9, 25, 1, 24, 8, 20, 12, 32, 16, 2, 21, 18, 4, 31]",50,500,20
64,0,489.0,7757,18.883254799999122,"[1, 31, 21, 8, 22, 15, 1, 3, 3, 10, 14, 11, 3, 21, 28, 10, 0, 7, 9, 16, 0, 8, 29, 16, 0, 29, 21, 31, 11, 4, 22, 29, 21]",50,500,21
65,500,523.0,8203,20.688648100000137,"[24, 27, 17, 6, 22, 15, 25, 30, 3, 10, 30, 20, 2, 12, 31, 26, 0, 19, 9, 16, 28, 8, 1, 23, 18, 29, 32, 23, 11, 4, 22, 7, 21]",50,500,21
66,0,494.0,8203,20.75973999999951,"[29, 3, 15, 17, 14, 31, 28, 27, 9, 25, 5, 17, 9, 2, 18, 5, 31, 24, 4, 27, 4, 8, 13, 21, 28, 9, 11, 7, 7, 29, 16, 10, 15]",50,500,22
67,500,519.0,8600,22.514405799998713,"[30, 3, 15, 18, 14, 31, 2, 6, 17, 25, 5, 17, 9, 32, 18, 5, 26, 24, 19, 12, 4, 8, 13, 21, 27, 22, 11, 7, 10, 29, 16, 8, 1]",50,500,22
68,0,488.0,8600,22.583996800000023,"[12, 29, 13, 28, 5, 11, 24, 23, 7, 10, 4, 17, 17, 23, 18, 25, 18, 10, 1, 16, 6, 9, 22, 19, 16, 13, 7, 7, 16, 1, 6, 27, 4]",50,500,23
69,500,518.0,8835,23.6223317999993,"[12, 24, 31, 28, 5, 11, 29, 14, 7, 9, 4, 2, 17, 32, 18, 2, 18, 10, 1, 3, 29, 9, 30, 19, 16, 13, 15, 6, 26, 22, 25, 27, 4]",50,500,23
70,0,487.0,8835,23.693644299999505,"[23, 9, 25, 0, 3, 23, 5, 5, 4, 8, 22, 3, 0, 27, 26, 15, 25, 17, 15, 23, 4, 0, 10, 3, 2, 24, 18, 19, 20, 31, 31, 28, 25]",50,500,24
71,500,520.0,9278,25.753712199999427,"[23, 9, 13, 1, 23, 14, 11, 5, 2, 4, 27, 18, 8, 31, 26, 28, 22, 17, 15, 12, 4, 0, 10, 3, 29, 24, 30, 19, 7, 31, 20, 32, 25]",50,500,24
72,0,479.0,9278,25.827944299999217,"[10, 20, 1, 18, 4, 22, 9, 28, 29, 15, 1, 31, 9, 15, 13, 31, 22, 4, 8, 23, 22, 25, 32, 25, 21, 9, 1, 20, 26, 26, 8, 6, 10]",50,500,25
73,500,521.0,9706,27.92876559999968,"[16, 18, 31, 23, 27, 24, 2, 28, 2, 14, 1, 1, 9, 19, 13, 7, 22, 26, 21, 8, 20, 25, 32, 30, 12, 5, 31, 20, 0, 15, 4, 6, 10]",50,500,25
74,0,492.0,9706,28.009699700000056,"[11, 23, 7, 1, 8, 32, 24, 12, 24, 26, 16, 29, 12, 7, 17, 15, 12, 18, 10, 26, 4, 24, 20, 17, 19, 5, 10, 30, 18, 22, 0, 9, 28]",50,500,26
75,500,523.0,10174,30.451142199999595,"[11, 23, 7, 17, 8, 2, 15, 30, 24, 13, 16, 23, 32, 12, 27, 4, 1, 18, 0, 26, 3, 8, 20, 25, 19, 5, 10, 6, 18, 22, 29, 31, 28]",50,500,26
76,0,476.0,10174,30.52937269999893,"[4, 32, 17, 13, 21, 12, 25, 26, 6, 26, 16, 7, 12, 20, 11, 1, 23, 25, 26, 6, 3, 18, 18, 16, 21, 19, 8, 12, 15, 25, 10, 8, 12]",50,500,27
77,500,521.0,10502,32.20183879999968,"[4, 10, 17, 13, 10, 28, 25, 2, 1, 26, 16, 7, 12, 15, 3, 31, 27, 25, 30, 6, 3, 18, 14, 11, 5, 19, 8, 13, 29, 9, 20, 22, 0]",50,500,27
78,0,489.0,10502,32.28531219999968,"[29, 25, 29, 15, 31, 17, 32, 18, 17, 25, 31, 29, 20, 18, 16, 5, 17, 4, 3, 2, 0, 1, 1, 19, 10, 25, 29, 6, 7, 6, 10, 24, 21]",50,500,28
79,500,522.0,10926,34.63335240000015,"[17, 2, 24, 13, 31, 20, 32, 4, 21, 0, 31, 29, 11, 18, 16, 5, 10, 1, 3, 23, 27, 30, 28, 19, 12, 25, 29, 6, 9, 15, 22, 8, 27]",50,500,28
80,0,489.0,10926,34.71678599999905,"[28, 25, 22, 5, 21, 29, 11, 19, 28, 28, 31, 24, 30, 24, 25, 4, 10, 4, 31, 30, 29, 8, 26, 10, 10, 21, 18, 28, 9, 6, 2, 21, 13]",50,500,29
81,500,521.0,11229,36.37268159999985,"[9, 12, 22, 0, 19, 29, 11, 23, 14, 28, 31, 24, 30, 1, 25, 4, 17, 4, 13, 31, 5, 15, 26, 3, 10, 21, 18, 0, 26, 32, 2, 21, 6]",50,500,29
82,0,493.0,11229,36.457381799998984,"[29, 20, 10, 20, 0, 20, 32, 9, 29, 18, 8, 0, 8, 25, 31, 1, 6, 30, 11, 29, 28, 28, 11, 28, 19, 27, 9, 25, 7, 26, 32, 28, 8]",50,500,30
83,500,519.0,11583,38.51213800000005,"[26, 21, 10, 20, 3, 20, 24, 9, 2, 18, 8, 0, 8, 25, 17, 31, 1, 30, 23, 29, 28, 13, 11, 16, 19, 27, 6, 15, 7, 26, 30, 5, 32]",50,500,30
84,0,492.0,11583,38.59809879999921,"[4, 23, 12, 21, 4, 18, 24, 9, 8, 21, 17, 10, 1, 7, 7, 26, 27, 13, 26, 0, 16, 16, 31, 18, 20, 10, 28, 7, 26, 10, 3, 9, 21]",50,500,31
